wl,n,k
220.0,2.579368206590689,0.0
235.9866220735786,2.4618307253614002,0.0
251.9732441471572,2.388986361833624,0.0
267.9598662207358,2.3396168307013574,0.0
283.9464882943144,2.30409694508378,0.0
299.933110367893,2.2774207098754204,0.0
315.9197324414716,2.2567260604237616,0.0
331.90635451505017,2.240258447372541,0.0
347.89297658862876,2.2268829412420725,0.0
363.87959866220734,2.215833415798919,0.0
379.866220735786,2.2065744158623835,0.0
395.8528428093646,2.1987207439497967,0.0
411.8394648829432,2.19198845778233,0.0
427.8260869565218,2.18616384100513,0.0
443.8127090301004,2.1810831021539383,0.0
459.799331103679,2.1766187129705727,0.0
475.78595317725757,2.17266998608917,0.0
491.77257525083616,2.169156434660665,0.0
507.75919732441474,2.166013002063317,0.0
523.7458193979934,2.163186575948296,0.0
539.732441471572,2.1606334014062996,0.0
555.7190635451506,2.158317134531473,0.0
571.7056856187291,2.156207359283105,0.0
587.6923076923077,2.1542784443134715,0.0
603.6789297658863,2.15250865251685,0.0
619.6655518394649,2.150879440691051,0.0
635.6521739130435,2.149374903786798,0.0
651.6387959866221,2.1479813302384594,0.0
667.6254180602007,2.146686843436881,0.0
683.6120401337793,2.1454811105877183,0.0
699.5986622073578,2.1443551047113867,0.0
715.5852842809364,2.143300908869835,0.0
731.571906354515,2.1423115541854956,0.0
747.5585284280937,2.141380885082761,0.0
763.5451505016723,2.140503446596846,0.0
779.5317725752509,2.1396743896766073,0.0
795.5183946488295,2.1388893912413853,0.0
811.5050167224081,2.1381445863988846,0.0
827.4916387959867,2.1374365107366535,0.0
843.4782608695652,2.136762050997386,0.0
859.4648829431438,2.136118402762917,0.0
875.4515050167224,2.1355030340222716,0.0
891.438127090301,2.1349136536995834,0.0
907.4247491638796,2.1343481843789847,0.0
923.4113712374582,2.133804738593995,0.0
939.3979933110368,2.133281598154879,0.0
955.3846153846154,2.1327771960739477,0.0
971.371237458194,2.132290100719631,0.0
987.3578595317726,2.1318190018885397,0.0
1003.3444816053513,2.1313626985329246,0.0
1019.3311036789298,2.130920087920964,0.0
1035.3177257525085,2.130490156040611,0.0
1051.304347826087,2.1300719690855687,0.0
1067.2909698996657,2.1296646658852865,0.0
1083.2775919732442,2.129267451160506,0.0
1099.2642140468229,2.1288795895024446,0.0
1115.2508361204013,2.128500399987707,0.0
1131.23745819398,2.128129251352923,0.0
1147.2240802675585,2.1277655576632357,0.0
1163.2107023411372,2.127408774417393,0.0
1179.1973244147157,2.127058395039594,0.0
1195.1839464882946,2.1267139477145975,0.0
1211.170568561873,2.1263749925280346,0.0
1227.1571906354516,2.1260411188785797,0.0
1243.1438127090303,2.1257119431327,0.0
1259.130434782609,2.1253871064962104,0.0
1275.1170568561874,2.1250662730799283,0.0
1291.1036789297661,2.124749128139351,0.0
1307.0903010033446,2.124435376470628,0.0
1323.0769230769233,2.124124740947084,0.0
1339.0635451505018,2.123816961182334,0.0
1355.0501672240805,2.1235117923075784,0.0
1371.036789297659,2.123209003852016,0.0
1387.0234113712377,2.1229083787165175,0.0
1403.0100334448161,2.12260971223174,0.0
1418.9966555183948,2.122312811292819,0.0
1434.9832775919733,2.1220174935635616,0.0
1450.969899665552,2.1217235867438125,0.0
1466.9565217391305,2.1214309278943078,0.0
1482.9431438127092,2.121139362813894,0.0
1498.9297658862877,2.120848745464506,0.0
1514.9163879598664,2.1205589374397493,0.0
1530.9030100334448,2.1202698074733255,0.0
1546.8896321070235,2.119981230983926,0.0
1562.876254180602,2.1196930896535093,0.0
1578.8628762541807,2.1194052710361873,0.0
1594.8494983277592,2.1191176681951998,0.0
1610.836120401338,2.118830179365682,0.0
1626.8227424749164,2.118542707641153,0.0
1642.809364548495,2.1182551606818176,0.0
1658.7959866220735,2.1179674504429724,0.0
1674.7826086956522,2.1176794929219276,0.0
1690.7692307692307,2.1173912079220214,0.0
1706.7558528428094,2.1171025188324117,0.0
1722.742474916388,2.1168133524224446,0.0
1738.7290969899666,2.1165236386495057,0.0
1754.7157190635453,2.116233310479348,0.0
1770.7023411371238,2.115942303717977,0.0
1786.6889632107027,2.1156505568542463,0.0
1802.6755852842812,2.115358010912386,0.0
1818.6622073578599,2.115064609313758,0.0
1834.6488294314383,2.11477029774717,0.0
1850.635451505017,2.1144750240471604,0.0
1866.6220735785955,2.114178738079678,0.0
1882.6086956521742,2.113881391634666,0.0
1898.5953177257527,2.1135829383250573,0.0
1914.5819397993314,2.113283333491754,0.0
1930.5685618729099,2.1129825341141903,0.0
1946.5551839464886,2.1126804987260974,0.0
1962.541806020067,2.1123771873361292,0.0
1978.5284280936457,2.11207256135303,0.0
1994.5150501672242,2.1117665835150468,0.0
2010.5016722408031,2.1114592178233123,0.0
2026.4882943143814,2.1111504294789394,0.0
2042.47491638796,2.1108401848236,0.0
2058.4615384615386,2.11052845128336,0.0
2074.4481605351175,2.110215197315566,0.0
2090.434782608696,2.109900392358605,0.0
2106.4214046822744,2.1095840067843423,0.0
2122.4080267558534,2.1092660118530944,0.0
2138.394648829432,2.1089463796709613,0.0
2154.3812709030103,2.108625083149395,0.0
2170.367892976589,2.1083020959668555,0.0
2186.3545150501677,2.1079773925324434,0.0
2202.341137123746,2.107650947951382,0.0
2218.3277591973247,2.1073227379922446,0.0
2234.314381270903,2.106992739055828,0.0
2250.301003344482,2.1066609281455744,0.0
2266.2876254180605,2.106327282839454,0.0
2282.2742474916395,2.1059917812632225,0.0
2298.260869565218,2.105654402064984,0.0
2314.2474916387964,2.105315124390973,0.0
2330.234113712375,2.104973927862503,0.0
2346.220735785954,2.1046307925540018,0.0
2362.2073578595323,2.104285698972088,0.0
2378.1939799331108,2.1039386280356216,0.0
2394.1806020066892,2.1035895610566775,0.0
2410.167224080268,2.1032384797224,0.0
2426.1538461538466,2.1028853660776807,0.0
2442.140468227425,2.102530202508622,0.0
2458.1270903010036,2.1021729717267443,0.0
2474.1137123745825,2.1018136567538948,0.0
2490.100334448161,2.101452240907826,0.0
2506.0869565217395,2.1010887077884055,0.0
2522.073578595318,2.100723041264426,0.0
2538.060200668897,2.1003552254609836,0.0
2554.0468227424753,2.0999852447473972,0.0
2570.033444816054,2.0996130837256413,0.0
2586.0200668896323,2.099238727219264,0.0
2602.006688963211,2.098862160262771,0.0
2617.9933110367897,2.098483368091446,0.0
2633.979933110368,2.0981023361315905,0.0
2649.9665551839466,2.09771904999116,0.0
2665.9531772575256,2.097333495450782,0.0
2681.939799331104,2.0969456584551285,0.0
2697.9264214046825,2.0965555251046326,0.0
2713.9130434782614,2.0961630816475334,0.0
2729.89966555184,2.095768314472226,0.0
2745.886287625419,2.0953712100999136,0.0
2761.872909698997,2.0949717551775318,0.0
2777.859531772576,2.0945699364709514,0.0
2793.8461538461543,2.0941657408584287,0.0
2809.832775919733,2.0937591553243027,0.0
2825.8193979933117,2.093350166952925,0.0
2841.80602006689,2.0929387629228087,0.0
2857.7926421404686,2.0925249305009928,0.0
2873.7792642140475,2.092108657037602,0.0
2889.765886287626,2.0916899299606078,0.0
2905.7525083612045,2.0912687367707607,0.0
2921.739130434783,2.0908450650367127,0.0
2937.725752508362,2.0904189023902933,0.0
2953.7123745819404,2.089990236521955,0.0
2969.698996655519,2.089559055176368,0.0
2985.6856187290973,2.0891253461481583,0.0
3001.6722408026762,2.0886890972777907,0.0
